"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ethnicity,eligibility,,dropdown,"What is your ethnicity?","1, Hispanic or Latino | 2, Not Hispanic or Latino",,,,,,,y,,,,,
meds,eligibility,,text,"List any medications you are currently taking",,"use a comma to separate medications; enter NA if none",,,,,,y,,,,,
med_change,eligibility,,dropdown,"Have there been any changes in your current medications (including changes in dosage) in the last 2 months?","1, Yes | 2, No | 3, Not Applicable",,,,,,,y,,,,,
pregnant,eligibility,,yesno,"Are you currently pregnant or breastfeeding?",,,,,,,"[sex] = '1' and [sex] = '2'",y,,,,,
disorders,eligibility,,text,"List any health conditions for which you are currently being treated",,"use a comma to separate conditions; enter NA if none",,,,,,y,,,,,
tobacco,eligibility,,yesno,"Do you use tobacco products?",,,,,,,,y,,,,,
tobacco_freq,eligibility,,dropdown,"How often do you use tobacco products?","1, Occasionally | 2, 1-2 times per week | 3, 3-4 times per week | 4, 5-6 times per week | 5, Every day",,,,,,"[tobacco] = '1'",y,,,,,
has_exam,eligibility,,yesno,"Do you have an upcoming exam in one or more of the classes you are currently taking?",,,,,,,,y,,,,,
exam_1,eligibility,"Please indicate the date and start time of each upcoming exam this semester. You can enter information on up to 8 exams. We will use this information in order to tell you when to start wearing the FitBit.",text,"First upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_1,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_2,eligibility," ",text,"Second upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_2,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_3,eligibility," ",text,"Third upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_3,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_4,eligibility," ",text,"Fourth upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_4,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_5,eligibility," ",text,"Fifth upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_5,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_6,eligibility," ",text,"Sixth upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_6,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_7,eligibility," ",text,"Seventh upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_7,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
exam_8,eligibility," ",text,"Eighth upcoming exam date and time:",,,datetime_mdy,,,,,,,,,,
exam_stress_8,eligibility,,slider,"How stressful do you expect this exam to be for you?","Not at all | Extremely",,,,,,,,RH,,,,
is_eligible,eligibility,,truefalse,"Is Eligible?",,,,,,,,,,,,,@HIDDEN-SURVEY
start_date,eligibility,,text,"EMA Start Date",,,date_ymd,,,,,,,,,,@HIDDEN-SURVEY
submit_text,eligibility,,descriptive,"In order for you to participate in this study we need to confirm that we can access your heart rate and activity data from FitBit. When you click the ""Submit"" button below, you will be redirected to login to your FitBit account.",,,,,,,,,,,,,
